商品编码,单证编号,单证名称
02031900,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02031900,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02031900,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02031900,I-3-02,《原产地证书》
02032110,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02032110,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02032110,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02032110,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02032110,I-3-02,《原产地证书》
02032190,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02032190,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02032190,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
